origin,destination,distance
"Craters of the Moon National Monument & Preserve, Arco, ID","Lincoln Home National Historic Site Visitor Center, 426 South 7th Street, Springfield, IL",2367353
"The Mark Twain House & Museum, Farmington Avenue, Hartford, CT","Wright Brothers National Memorial Visitor Center, Manteo, NC",905467
"USS Alabama, Battleship Parkway, Mobile, AL","Omni Mount Washington Resort, Mount Washington Hotel Road, Bretton Woods, NH",2494702
"Hanford Site, Benton County, WA","Fort Sumter National Monument, Sullivan's Island, SC",4461509
"Liberty Bell, 6th Street, Philadelphia, PA","Okefenokee Swamp Park, Okefenokee Swamp Park Road, Waycross, GA",1339772
"The Breakers, Ochre Point Avenue, Newport, RI","Mammoth Cave National Park, Mammoth Cave Pkwy, Mammoth Cave, KY",1632118
"The Breakers, Ochre Point Avenue, Newport, RI","The Alamo, Alamo Plaza, San Antonio, TX",3223524
"Wright Brothers National Memorial Visitor Center, Manteo, NC","Congress Hall, Congress Place, Cape May, NJ 08204",448155
"Shelburne Farms, Harbor Road, Shelburne, VT","Carlsbad Caverns National Park, Carlsbad, NM",3483464
"Cape Canaveral, FL","Bryce Canyon National Park, Hwy 63, Bryce, UT",3739594
"Pikes Peak, Colorado","Vicksburg National Military Park, Clay Street, Vicksburg, MS",1787044
"San Andreas Fault, San Benito County, CA","Lost World Caverns, Lewisburg, WV",4233272
"C. W. Parker Carousel Museum, South Esplanade Street, Leavenworth, KS","New Castle Historic District, Delaware",1876337
"Terrace Hill, Grand Avenue, Des Moines, IA","San Andreas Fault, San Benito County, CA",3029552
"Toltec Mounds, Scott, AR","Fort Snelling, Tower Avenue, Saint Paul, MN",1399583
"Craters of the Moon National Monument & Preserve, Arco, ID","Cable Car Museum, 94108, 1201 Mason St, San Francisco, CA 94108",1222590
"The Breakers, Ochre Point Avenue, Newport, RI","Glacier National Park, West Glacier, MT",4038048
"The Mark Twain House & Museum, Farmington Avenue, Hartford, CT","New Castle Historic District, Delaware",484456
"Cape Canaveral, FL","Acadia National Park, Maine",2532824
"C. W. Parker Carousel Museum, South Esplanade Street, Leavenworth, KS","Statue of Liberty, Liberty Island, NYC, NY",1973392
"Mount Rushmore National Memorial, South Dakota 244, Keystone, SD","Craters of the Moon National Monument & Preserve, Arco, ID",1100123
"C. W. Parker Carousel Museum, South Esplanade Street, Leavenworth, KS","Terrace Hill, Grand Avenue, Des Moines, IA",333113
"San Andreas Fault, San Benito County, CA","Wright Brothers National Memorial Visitor Center, Manteo, NC",4699698
"Chickasaw National Recreation Area, 1008 W 2nd St, Sulphur, OK 73086","Graceland, Elvis Presley Boulevard, Memphis, TN",805016
"Craters of the Moon National Monument & Preserve, Arco, ID","USS Constitution, Boston, MA",4066911
"Chickasaw National Recreation Area, 1008 W 2nd St, Sulphur, OK 73086","Olympia Entertainment, Woodward Avenue, Detroit, MI",1731916
"Yellowstone National Park, WY 82190","Lincoln Home National Historic Site Visitor Center, 426 South 7th Street, Springfield, IL",2134234
"Glacier National Park, West Glacier, MT","West Baden Springs Hotel, West Baden Avenue, West Baden Springs, IN",2894639
"Mount Rushmore National Memorial, South Dakota 244, Keystone, SD","Spring Grove Cemetery, Spring Grove Avenue, Cincinnati, OH",1954380
"Congress Hall, Congress Place, Cape May, NJ 08204","Fort Sumter National Monument, Sullivan's Island, SC",1160225
"Shelburne Farms, Harbor Road, Shelburne, VT","Grand Canyon National Park, Arizona",4087112
"Hanford Site, Benton County, WA","USS Constitution, Boston, MA",4699823
"Graceland, Elvis Presley Boulevard, Memphis, TN","Hanford Site, Benton County, WA",3425764
"USS Constitution, Boston, MA","Ashfall Fossil Bed, Royal, NE",2559004
"Fort Union Trading Post National Historic Site, Williston, North Dakota 1804, ND","Shelburne Farms, Harbor Road, Shelburne, VT",3167088
"USS Alabama, Battleship Parkway, Mobile, AL","Statue of Liberty, Liberty Island, NYC, NY",1924035
"Taliesin, County Road C, Spring Green, Wisconsin","The Alamo, Alamo Plaza, San Antonio, TX",2046331
"The Breakers, Ochre Point Avenue, Newport, RI","French Quarter, New Orleans, LA",2389577
"Shelburne Farms, Harbor Road, Shelburne, VT","French Quarter, New Orleans, LA",2527076
"Spring Grove Cemetery, Spring Grove Avenue, Cincinnati, OH","San Andreas Fault, San Benito County, CA",3796749
"Terrace Hill, Grand Avenue, Des Moines, IA","The Breakers, Ochre Point Avenue, Newport, RI",2075619
"Graceland, Elvis Presley Boulevard, Memphis, TN","New Castle Historic District, Delaware",1570606
"San Andreas Fault, San Benito County, CA","Glacier National Park, West Glacier, MT",2190913
"Terrace Hill, Grand Avenue, Des Moines, IA","Shelburne Farms, Harbor Road, Shelburne, VT",1961166
"Gateway Arch, Washington Avenue, St Louis, MO","Okefenokee Swamp Park, Okefenokee Swamp Park Road, Waycross, GA",1303092
"Liberty Bell, 6th Street, Philadelphia, PA","Statue of Liberty, Liberty Island, NYC, NY",151962
"Carlsbad Caverns National Park, Carlsbad, NM","USS Constitution, Boston, MA",3599410
"San Andreas Fault, San Benito County, CA","Fort Snelling, Tower Avenue, Saint Paul, MN",3294713
"Wright Brothers National Memorial Visitor Center, Manteo, NC","White House, Pennsylvania Avenue Northwest, Washington, DC",462796
"Lincoln Home National Historic Site Visitor Center, 426 South 7th Street, Springfield, IL","Cable Car Museum, 94108, 1201 Mason St, San Francisco, CA 94108",3288988
"Toltec Mounds, Scott, AR","Graceland, Elvis Presley Boulevard, Memphis, TN",229031
"Statue of Liberty, Liberty Island, NYC, NY","Gateway Arch, Washington Avenue, St Louis, MO",1532676
"Graceland, Elvis Presley Boulevard, Memphis, TN","The Mark Twain House & Museum, Farmington Avenue, Hartford, CT",1963583
"Mount Vernon, Fairfax County, Virginia","Grand Canyon National Park, Arizona",3665067
"Wright Brothers National Memorial Visitor Center, Manteo, NC","Cable Car Museum, 94108, 1201 Mason St, San Francisco, CA 94108",4874201
"USS Constitution, Boston, MA","French Quarter, New Orleans, LA",2454093
"White House, Pennsylvania Avenue Northwest, Washington, DC","Statue of Liberty, Liberty Island, NYC, NY",362725
"Ashfall Fossil Bed, Royal, NE","Glacier National Park, West Glacier, MT",1691765
"Terrace Hill, Grand Avenue, Des Moines, IA","Cable Car Museum, 94108, 1201 Mason St, San Francisco, CA 94108",2891033
"Carlsbad Caverns National Park, Carlsbad, NM","Glacier National Park, West Glacier, MT",2483417
"Chickasaw National Recreation Area, 1008 W 2nd St, Sulphur, OK 73086","New Castle Historic District, Delaware",2359410
"Hoover Dam, NV","Statue of Liberty, Liberty Island, NYC, NY",4078427
"Shelburne Farms, Harbor Road, Shelburne, VT","Bryce Canyon National Park, Hwy 63, Bryce, UT",3938537
"C. W. Parker Carousel Museum, South Esplanade Street, Leavenworth, KS","French Quarter, New Orleans, LA",1413656
"USS Alabama, Battleship Parkway, Mobile, AL","Terrace Hill, Grand Avenue, Des Moines, IA",1568964
"Hanford Site, Benton County, WA","Okefenokee Swamp Park, Okefenokee Swamp Park Road, Waycross, GA",4385252
"French Quarter, New Orleans, LA","West Baden Springs Hotel, West Baden Avenue, West Baden Springs, IN",1196556
"Hoover Dam, NV","Lincoln Home National Historic Site Visitor Center, 426 South 7th Street, Springfield, IL",2703190
"The Mark Twain House & Museum, Farmington Avenue, Hartford, CT","French Quarter, New Orleans, LA",2293165
"Hanford Site, Benton County, WA","Cape Canaveral, FL",4766469
"Mount Rushmore National Memorial, South Dakota 244, Keystone, SD","White House, Pennsylvania Avenue Northwest, Washington, DC",2624980
"Omni Mount Washington Resort, Mount Washington Hotel Road, Bretton Woods, NH","Olympia Entertainment, Woodward Avenue, Detroit, MI",1220596
"Carlsbad Caverns National Park, Carlsbad, NM","Okefenokee Swamp Park, Okefenokee Swamp Park Road, Waycross, GA",2281669
"Vicksburg National Military Park, Clay Street, Vicksburg, MS","Grand Canyon National Park, Arizona",2254207
"USS Constitution, Boston, MA","Olympia Entertainment, Woodward Avenue, Detroit, MI",1157988
"Chickasaw National Recreation Area, 1008 W 2nd St, Sulphur, OK 73086","Wright Brothers National Memorial Visitor Center, Manteo, NC",2302762
"Chickasaw National Recreation Area, 1008 W 2nd St, Sulphur, OK 73086","Grand Canyon National Park, Arizona",1591868
"Mount Vernon, Fairfax County, Virginia","Fort Sumter National Monument, Sullivan's Island, SC",833917
"Statue of Liberty, Liberty Island, NYC, NY","The Alamo, Alamo Plaza, San Antonio, TX",2933460
"Hanford Site, Benton County, WA","Acadia National Park, Maine",5129430
"USS Alabama, Battleship Parkway, Mobile, AL","The Alamo, Alamo Plaza, San Antonio, TX",1069098
"Columbia River Gorge National Scenic Area, Oregon","West Baden Springs Hotel, West Baden Avenue, West Baden Springs, IN",3504228
"Spring Grove Cemetery, Spring Grove Avenue, Cincinnati, OH","Omni Mount Washington Resort, Mount Washington Hotel Road, Bretton Woods, NH",1508650
"Liberty Bell, 6th Street, Philadelphia, PA","Lost World Caverns, Lewisburg, WV",637355
"USS Alabama, Battleship Parkway, Mobile, AL","Bryce Canyon National Park, Hwy 63, Bryce, UT",2859726
"C. W. Parker Carousel Museum, South Esplanade Street, Leavenworth, KS","Spring Grove Cemetery, Spring Grove Avenue, Cincinnati, OH",996021
"Spring Grove Cemetery, Spring Grove Avenue, Cincinnati, OH","Yellowstone National Park, WY 82190",2674069
"Hoover Dam, NV","San Andreas Fault, San Benito County, CA",763736
"Gateway Arch, Washington Avenue, St Louis, MO","Glacier National Park, West Glacier, MT",2628822
"Mount Vernon, Fairfax County, Virginia","Bryce Canyon National Park, Hwy 63, Bryce, UT",3597733
"Omni Mount Washington Resort, Mount Washington Hotel Road, Bretton Woods, NH","Ashfall Fossil Bed, Royal, NE",2649100
"Bryce Canyon National Park, Hwy 63, Bryce, UT","Cable Car Museum, 94108, 1201 Mason St, San Francisco, CA 94108",1328462
"San Andreas Fault, San Benito County, CA","Okefenokee Swamp Park, Okefenokee Swamp Park Road, Waycross, GA",4209966
"Chickasaw National Recreation Area, 1008 W 2nd St, Sulphur, OK 73086","Taliesin, County Road C, Spring Green, Wisconsin",1440063
"Chickasaw National Recreation Area, 1008 W 2nd St, Sulphur, OK 73086","Fort Snelling, Tower Avenue, Saint Paul, MN",1402360
"Hoover Dam, NV","USS Constitution, Boston, MA",4427850
"Liberty Bell, 6th Street, Philadelphia, PA","White House, Pennsylvania Avenue Northwest, Washington, DC",222250
"Gateway Arch, Washington Avenue, St Louis, MO","Fort Snelling, Tower Avenue, Saint Paul, MN",847947
"Omni Mount Washington Resort, Mount Washington Hotel Road, Bretton Woods, NH","Glacier National Park, West Glacier, MT",4152680
"Fort Snelling, Tower Avenue, Saint Paul, MN","Grand Canyon National Park, Arizona",2517491
"Spring Grove Cemetery, Spring Grove Avenue, Cincinnati, OH","Gateway Arch, Washington Avenue, St Louis, MO",555304
"Congress Hall, Congress Place, Cape May, NJ 08204","Grand Canyon National Park, Arizona",3879839
"Vicksburg National Military Park, Clay Street, Vicksburg, MS","West Baden Springs Hotel, West Baden Avenue, West Baden Springs, IN",1049651
"C. W. Parker Carousel Museum, South Esplanade Street, Leavenworth, KS","Congress Hall, Congress Place, Cape May, NJ 08204",2014264
"Statue of Liberty, Liberty Island, NYC, NY","Bryce Canyon National Park, Hwy 63, Bryce, UT",3768500
"The Mark Twain House & Museum, Farmington Avenue, Hartford, CT","Mammoth Cave National Park, Mammoth Cave Pkwy, Mammoth Cave, KY",1533836
"Taliesin, County Road C, Spring Green, Wisconsin","Yellowstone National Park, WY 82190",2075224
"Shelburne Farms, Harbor Road, Shelburne, VT","The Breakers, Ochre Point Avenue, Newport, RI",470924
"Fort Union Trading Post National Historic Site, Williston, North Dakota 1804, ND","French Quarter, New Orleans, LA",3023850
"Mammoth Cave National Park, Mammoth Cave Pkwy, Mammoth Cave, KY","New Castle Historic District, Delaware",1187971
"San Andreas Fault, San Benito County, CA","Acadia National Park, Maine",5557263
"Toltec Mounds, Scott, AR","Terrace Hill, Grand Avenue, Des Moines, IA",1007426
"Toltec Mounds, Scott, AR","Wright Brothers National Memorial Visitor Center, Manteo, NC",1728198
"Toltec Mounds, Scott, AR","West Baden Springs Hotel, West Baden Avenue, West Baden Springs, IN",849822
"Pikes Peak, Colorado","Glacier National Park, West Glacier, MT",1632053
"USS Constitution, Boston, MA","The Alamo, Alamo Plaza, San Antonio, TX",3289321
"Terrace Hill, Grand Avenue, Des Moines, IA","Lincoln Home National Historic Site Visitor Center, 426 South 7th Street, Springfield, IL",545245
"Spring Grove Cemetery, Spring Grove Avenue, Cincinnati, OH","Okefenokee Swamp Park, Okefenokee Swamp Park Road, Waycross, GA",1160395
"Hanford Site, Benton County, WA","Carlsbad Caverns National Park, Carlsbad, NM",2485831
"USS Alabama, Battleship Parkway, Mobile, AL","Gateway Arch, Washington Avenue, St Louis, MO",1043023
"Columbia River Gorge National Scenic Area, Oregon","Cable Car Museum, 94108, 1201 Mason St, San Francisco, CA 94108",1044669
"New Castle Historic District, Delaware","USS Constitution, Boston, MA",641379
"Fort Union Trading Post National Historic Site, Williston, North Dakota 1804, ND","Omni Mount Washington Resort, Mount Washington Hotel Road, Bretton Woods, NH",3385471
"Mount Rushmore National Memorial, South Dakota 244, Keystone, SD","Pikes Peak, Colorado",754485
"Olympia Entertainment, Woodward Avenue, Detroit, MI","Cable Car Museum, 94108, 1201 Mason St, San Francisco, CA 94108",3850939
"Craters of the Moon National Monument & Preserve, Arco, ID","The Alamo, Alamo Plaza, San Antonio, TX",2521886
"Mount Rushmore National Memorial, South Dakota 244, Keystone, SD","The Mark Twain House & Museum, Farmington Avenue, Hartford, CT",2932400
"Mount Rushmore National Memorial, South Dakota 244, Keystone, SD","Shelburne Farms, Harbor Road, Shelburne, VT",2954965
"Mammoth Cave National Park, Mammoth Cave Pkwy, Mammoth Cave, KY","USS Constitution, Boston, MA",1696634
"Graceland, Elvis Presley Boulevard, Memphis, TN","The Alamo, Alamo Plaza, San Antonio, TX",1179943
"Toltec Mounds, Scott, AR","Mammoth Cave National Park, Mammoth Cave Pkwy, Mammoth Cave, KY",696215
"USS Alabama, Battleship Parkway, Mobile, AL","West Baden Springs Hotel, West Baden Avenue, West Baden Springs, IN",1064711
"Carlsbad Caverns National Park, Carlsbad, NM","Fort Snelling, Tower Avenue, Saint Paul, MN",2166013
"Hanford Site, Benton County, WA","Bryce Canyon National Park, Hwy 63, Bryce, UT",1460920
"Toltec Mounds, Scott, AR","Taliesin, County Road C, Spring Green, Wisconsin",1206666
"Mount Vernon, Fairfax County, Virginia","The Breakers, Ochre Point Avenue, Newport, RI",674006
"The Breakers, Ochre Point Avenue, Newport, RI","Okefenokee Swamp Park, Okefenokee Swamp Park Road, Waycross, GA",1770817
"Maryland State House, 100 State Cir, Annapolis, MD 21401","Terrace Hill, Grand Avenue, Des Moines, IA",1679749
"C. W. Parker Carousel Museum, South Esplanade Street, Leavenworth, KS","White House, Pennsylvania Avenue Northwest, Washington, DC",1754476
"Gateway Arch, Washington Avenue, St Louis, MO","Grand Canyon National Park, Arizona",2307961
"Maryland State House, 100 State Cir, Annapolis, MD 21401","Grand Canyon National Park, Arizona",3659127
"White House, Pennsylvania Avenue Northwest, Washington, DC","West Baden Springs Hotel, West Baden Avenue, West Baden Springs, IN",1065777
"Acadia National Park, Maine","Okefenokee Swamp Park, Okefenokee Swamp Park Road, Waycross, GA",2253691
"Shelburne Farms, Harbor Road, Shelburne, VT","Statue of Liberty, Liberty Island, NYC, NY",477387
"Chickasaw National Recreation Area, 1008 W 2nd St, Sulphur, OK 73086","Congress Hall, Congress Place, Cape May, NJ 08204",2437518
"Spring Grove Cemetery, Spring Grove Avenue, Cincinnati, OH","Cape Canaveral, FL",1541612
"Liberty Bell, 6th Street, Philadelphia, PA","Glacier National Park, West Glacier, MT",3700295
"Hoover Dam, NV","Hanford Site, Benton County, WA",1545185
"C. W. Parker Carousel Museum, South Esplanade Street, Leavenworth, KS","Mount Rushmore National Memorial, South Dakota 244, Keystone, SD",1144699
"Statue of Liberty, Liberty Island, NYC, NY","Yellowstone National Park, WY 82190",3524053
"Liberty Bell, 6th Street, Philadelphia, PA","Spring Grove Cemetery, Spring Grove Avenue, Cincinnati, OH",918887
"Hoover Dam, NV","Congress Hall, Congress Place, Cape May, NJ 08204",4119298
"Yellowstone National Park, WY 82190","Grand Canyon National Park, Arizona",1142593
"White House, Pennsylvania Avenue Northwest, Washington, DC","Gateway Arch, Washington Avenue, St Louis, MO",1318428
"Liberty Bell, 6th Street, Philadelphia, PA","Olympia Entertainment, Woodward Avenue, Detroit, MI",944184
"The Alamo, Alamo Plaza, San Antonio, TX","Fort Snelling, Tower Avenue, Saint Paul, MN",2008901
"Congress Hall, Congress Place, Cape May, NJ 08204","Ashfall Fossil Bed, Royal, NE",2345131
"The Alamo, Alamo Plaza, San Antonio, TX","Lincoln Home National Historic Site Visitor Center, 426 South 7th Street, Springfield, IL",1607847
"San Andreas Fault, San Benito County, CA","Congress Hall, Congress Place, Cape May, NJ 08204",4814991
"Gateway Arch, Washington Avenue, St Louis, MO","Bryce Canyon National Park, Hwy 63, Bryce, UT",2276197
"USS Alabama, Battleship Parkway, Mobile, AL","Hoover Dam, NV",2861891
"Carlsbad Caverns National Park, Carlsbad, NM","New Castle Historic District, Delaware",3085939
"Carlsbad Caverns National Park, Carlsbad, NM","The Alamo, Alamo Plaza, San Antonio, TX",758015
"Carlsbad Caverns National Park, Carlsbad, NM","The Mark Twain House & Museum, Farmington Avenue, Hartford, CT",3434325
"Omni Mount Washington Resort, Mount Washington Hotel Road, Bretton Woods, NH","USS Constitution, Boston, MA",251490
"The Mark Twain House & Museum, Farmington Avenue, Hartford, CT","The Breakers, Ochre Point Avenue, Newport, RI",145604
"Shelburne Farms, Harbor Road, Shelburne, VT","Gateway Arch, Washington Avenue, St Louis, MO",1780820
"Hoover Dam, NV","Pikes Peak, Colorado",1346909
"C. W. Parker Carousel Museum, South Esplanade Street, Leavenworth, KS","Hanford Site, Benton County, WA",2663870
"C. W. Parker Carousel Museum, South Esplanade Street, Leavenworth, KS","Hoover Dam, NV",2223982
"Mount Rushmore National Memorial, South Dakota 244, Keystone, SD","Bryce Canyon National Park, Hwy 63, Bryce, UT",1417261
"Mount Rushmore National Memorial, South Dakota 244, Keystone, SD","Hoover Dam, NV",1715316
"Liberty Bell, 6th Street, Philadelphia, PA","French Quarter, New Orleans, LA",1966566
"Graceland, Elvis Presley Boulevard, Memphis, TN","Fort Sumter National Monument, Sullivan's Island, SC",1084382
"San Andreas Fault, San Benito County, CA","Cape Canaveral, FL",4432637
"Carlsbad Caverns National Park, Carlsbad, NM","Columbia River Gorge National Scenic Area, Oregon",2526763
"Mammoth Cave National Park, Mammoth Cave Pkwy, Mammoth Cave, KY","French Quarter, New Orleans, LA",995629
"Olympia Entertainment, Woodward Avenue, Detroit, MI","Okefenokee Swamp Park, Okefenokee Swamp Park Road, Waycross, GA",1575841
"White House, Pennsylvania Avenue Northwest, Washington, DC","Congress Hall, Congress Place, Cape May, NJ 08204",300705
"USS Alabama, Battleship Parkway, Mobile, AL","Hanford Site, Benton County, WA",4050755
"Graceland, Elvis Presley Boulevard, Memphis, TN","Okefenokee Swamp Park, Okefenokee Swamp Park Road, Waycross, GA",937381
"Hoover Dam, NV","Omni Mount Washington Resort, Mount Washington Hotel Road, Bretton Woods, NH",4515460
"Mount Vernon, Fairfax County, Virginia","Lincoln Home National Historic Site Visitor Center, 426 South 7th Street, Springfield, IL",1280757
"White House, Pennsylvania Avenue Northwest, Washington, DC","Bryce Canyon National Park, Hwy 63, Bryce, UT",3578269
"Acadia National Park, Maine","French Quarter, New Orleans, LA",2884290
"Liberty Bell, 6th Street, Philadelphia, PA","Yellowstone National Park, WY 82190",3474172
"Chickasaw National Recreation Area, 1008 W 2nd St, Sulphur, OK 73086","Statue of Liberty, Liberty Island, NYC, NY",2406284
"Terrace Hill, Grand Avenue, Des Moines, IA","Columbia River Gorge National Scenic Area, Oregon",2715601
"Craters of the Moon National Monument & Preserve, Arco, ID","Fort Sumter National Monument, Sullivan's Island, SC",3760470
"Pikes Peak, Colorado","Columbia River Gorge National Scenic Area, Oregon",1989641
"USS Constitution, Boston, MA","Fort Sumter National Monument, Sullivan's Island, SC",1565117
"Fort Union Trading Post National Historic Site, Williston, North Dakota 1804, ND","Vicksburg National Military Park, Clay Street, Vicksburg, MS",2672008
"Shelburne Farms, Harbor Road, Shelburne, VT","Okefenokee Swamp Park, Okefenokee Swamp Park Road, Waycross, GA",1933249
"Shelburne Farms, Harbor Road, Shelburne, VT","Congress Hall, Congress Place, Cape May, NJ 08204",705691
"Omni Mount Washington Resort, Mount Washington Hotel Road, Bretton Woods, NH","Bryce Canyon National Park, Hwy 63, Bryce, UT",4170118
"Vicksburg National Military Park, Clay Street, Vicksburg, MS","Cable Car Museum, 94108, 1201 Mason St, San Francisco, CA 94108",3363863
"San Andreas Fault, San Benito County, CA","Columbia River Gorge National Scenic Area, Oregon",1228419
"Hoover Dam, NV","Cape Canaveral, FL",3741759
"Vicksburg National Military Park, Clay Street, Vicksburg, MS","Congress Hall, Congress Place, Cape May, NJ 08204",1939504
"Terrace Hill, Grand Avenue, Des Moines, IA","Fort Union Trading Post National Historic Site, Williston, North Dakota 1804, ND",1452974
"Mount Rushmore National Memorial, South Dakota 244, Keystone, SD","USS Alabama, Battleship Parkway, Mobile, AL",2485277
"Fort Union Trading Post National Historic Site, Williston, North Dakota 1804, ND","Lost World Caverns, Lewisburg, WV",2685723
"Craters of the Moon National Monument & Preserve, Arco, ID","Yellowstone National Park, WY 82190",413219
"C. W. Parker Carousel Museum, South Esplanade Street, Leavenworth, KS","Craters of the Moon National Monument & Preserve, Arco, ID",1957641
"The Breakers, Ochre Point Avenue, Newport, RI","Pikes Peak, Colorado",3199746
"Maryland State House, 100 State Cir, Annapolis, MD 21401","Olympia Entertainment, Woodward Avenue, Detroit, MI",886410
"Toltec Mounds, Scott, AR","Hoover Dam, NV",2312537
"Craters of the Moon National Monument & Preserve, Arco, ID","West Baden Springs Hotel, West Baden Avenue, West Baden Springs, IN",2762301
"Carlsbad Caverns National Park, Carlsbad, NM","Ashfall Fossil Bed, Royal, NE",1584981
"Shelburne Farms, Harbor Road, Shelburne, VT","Acadia National Park, Maine",544911
"Okefenokee Swamp Park, Okefenokee Swamp Park Road, Waycross, GA","Bryce Canyon National Park, Hwy 63, Bryce, UT",3573294
"USS Alabama, Battleship Parkway, Mobile, AL","Cable Car Museum, 94108, 1201 Mason St, San Francisco, CA 94108",3851355
"Gateway Arch, Washington Avenue, St Louis, MO","Olympia Entertainment, Woodward Avenue, Detroit, MI",857616
"USS Constitution, Boston, MA","Gateway Arch, Washington Avenue, St Louis, MO",1899364
"Maryland State House, 100 State Cir, Annapolis, MD 21401","Craters of the Moon National Monument & Preserve, Arco, ID",3647102
"San Andreas Fault, San Benito County, CA","Fort Sumter National Monument, Sullivan's Island, SC",4281410
"Wright Brothers National Memorial Visitor Center, Manteo, NC","Grand Canyon National Park, Arizona",3764546
"White House, Pennsylvania Avenue Northwest, Washington, DC","Vicksburg National Military Park, Clay Street, Vicksburg, MS",1637791
"The Mark Twain House & Museum, Farmington Avenue, Hartford, CT","Pikes Peak, Colorado",3109610
"Fort Union Trading Post National Historic Site, Williston, North Dakota 1804, ND","The Alamo, Alamo Plaza, San Antonio, TX",2558847
"Chickasaw National Recreation Area, 1008 W 2nd St, Sulphur, OK 73086","Columbia River Gorge National Scenic Area, Oregon",3048674
"Mammoth Cave National Park, Mammoth Cave Pkwy, Mammoth Cave, KY","White House, Pennsylvania Avenue Northwest, Washington, DC",1066109
"USS Alabama, Battleship Parkway, Mobile, AL","Carlsbad Caverns National Park, Carlsbad, NM",1744227
"Mammoth Cave National Park, Mammoth Cave Pkwy, Mammoth Cave, KY","The Alamo, Alamo Plaza, San Antonio, TX",1645458
"USS Alabama, Battleship Parkway, Mobile, AL","The Breakers, Ochre Point Avenue, Newport, RI",2214605
"Hoover Dam, NV","The Alamo, Alamo Plaza, San Antonio, TX",2012743
"Carlsbad Caverns National Park, Carlsbad, NM","French Quarter, New Orleans, LA",1626516
"Toltec Mounds, Scott, AR","San Andreas Fault, San Benito County, CA",3004953
"Spring Grove Cemetery, Spring Grove Avenue, Cincinnati, OH","Craters of the Moon National Monument & Preserve, Arco, ID",2873247
"Carlsbad Caverns National Park, Carlsbad, NM","Cable Car Museum, 94108, 1201 Mason St, San Francisco, CA 94108",2122087
"Gateway Arch, Washington Avenue, St Louis, MO","Columbia River Gorge National Scenic Area, Oregon",3129086
"Omni Mount Washington Resort, Mount Washington Hotel Road, Bretton Woods, NH","New Castle Historic District, Delaware",868799
"Hanford Site, Benton County, WA","West Baden Springs Hotel, West Baden Avenue, West Baden Springs, IN",3463296
"Congress Hall, Congress Place, Cape May, NJ 08204","Cable Car Museum, 94108, 1201 Mason St, San Francisco, CA 94108",4775270
"Maryland State House, 100 State Cir, Annapolis, MD 21401","Shelburne Farms, Harbor Road, Shelburne, VT",799522
"Taliesin, County Road C, Spring Green, Wisconsin","Grand Canyon National Park, Arizona",2555807
"USS Constitution, Boston, MA","West Baden Springs Hotel, West Baden Avenue, West Baden Springs, IN",1670972
"Fort Sumter National Monument, Sullivan's Island, SC","Lincoln Home National Historic Site Visitor Center, 426 South 7th Street, Springfield, IL",1483499
"Taliesin, County Road C, Spring Green, Wisconsin","Pikes Peak, Colorado",1659414
"Mount Rushmore National Memorial, South Dakota 244, Keystone, SD","Hanford Site, Benton County, WA",1661609
"Liberty Bell, 6th Street, Philadelphia, PA","New Castle Historic District, Delaware",162565
"Toltec Mounds, Scott, AR","Maryland State House, 100 State Cir, Annapolis, MD 21401",1690140
"San Andreas Fault, San Benito County, CA","White House, Pennsylvania Avenue Northwest, Washington, DC",4598813
"Congress Hall, Congress Place, Cape May, NJ 08204","Olympia Entertainment, Woodward Avenue, Detroit, MI",1092600
"Terrace Hill, Grand Avenue, Des Moines, IA","Okefenokee Swamp Park, Okefenokee Swamp Park Road, Waycross, GA",1848155
"USS Alabama, Battleship Parkway, Mobile, AL","Fort Snelling, Tower Avenue, Saint Paul, MN",1867680
"Wright Brothers National Memorial Visitor Center, Manteo, NC","Fort Snelling, Tower Avenue, Saint Paul, MN",2236906
"Fort Union Trading Post National Historic Site, Williston, North Dakota 1804, ND","Mammoth Cave National Park, Mammoth Cave Pkwy, Mammoth Cave, KY",2335379
"Okefenokee Swamp Park, Okefenokee Swamp Park Road, Waycross, GA","West Baden Springs Hotel, West Baden Avenue, West Baden Springs, IN",1147157
"New Castle Historic District, Delaware","Acadia National Park, Maine",1071576
"Hoover Dam, NV","Mount Vernon, Fairfax County, Virginia",3904526
"Taliesin, County Road C, Spring Green, Wisconsin","Mammoth Cave National Park, Mammoth Cave Pkwy, Mammoth Cave, KY",921910
"C. W. Parker Carousel Museum, South Esplanade Street, Leavenworth, KS","USS Constitution, Boston, MA",2359929
"The Mark Twain House & Museum, Farmington Avenue, Hartford, CT","Grand Canyon National Park, Arizona",4039492
"Okefenokee Swamp Park, Okefenokee Swamp Park Road, Waycross, GA","Lincoln Home National Historic Site Visitor Center, 426 South 7th Street, Springfield, IL",1406589
"San Andreas Fault, San Benito County, CA","Vicksburg National Military Park, Clay Street, Vicksburg, MS",3189360
"Vicksburg National Military Park, Clay Street, Vicksburg, MS","Fort Sumter National Monument, Sullivan's Island, SC",1155865
"Terrace Hill, Grand Avenue, Des Moines, IA","Pikes Peak, Colorado",1230185
"Statue of Liberty, Liberty Island, NYC, NY","West Baden Springs Hotel, West Baden Avenue, West Baden Springs, IN",1278590
"Fort Sumter National Monument, Sullivan's Island, SC","Fort Snelling, Tower Avenue, Saint Paul, MN",2120739
"Gateway Arch, Washington Avenue, St Louis, MO","Cable Car Museum, 94108, 1201 Mason St, San Francisco, CA 94108",3309548
