origin,destination,distance
"Olympia Entertainment, Woodward Avenue, Detroit, MI","French Quarter, New Orleans, LA",1716724
"Hoover Dam, NV","Gateway Arch, Washington Avenue, St Louis, MO",2550203
"Hanford Site, Benton County, WA","White House, Pennsylvania Avenue Northwest, Washington, DC",4241452
"Mount Vernon, Fairfax County, Virginia","Vicksburg National Military Park, Clay Street, Vicksburg, MS",1638902
"Okefenokee Swamp Park, Okefenokee Swamp Park Road, Waycross, GA","Fort Snelling, Tower Avenue, Saint Paul, MN",2146870
"Lost World Caverns, Lewisburg, WV","The Alamo, Alamo Plaza, San Antonio, TX",2277257
"Chickasaw National Recreation Area, 1008 W 2nd St, Sulphur, OK 73086","The Alamo, Alamo Plaza, San Antonio, TX",652795
"Wright Brothers National Memorial Visitor Center, Manteo, NC","New Castle Historic District, Delaware",422162
"Fort Sumter National Monument, Sullivan's Island, SC","West Baden Springs Hotel, West Baden Avenue, West Baden Springs, IN",1080930
"The Mark Twain House & Museum, Farmington Avenue, Hartford, CT","Fort Sumter National Monument, Sullivan's Island, SC",1407416
"New Castle Historic District, Delaware","Cable Car Museum, 94108, 1201 Mason St, San Francisco, CA 94108",4651287
"Lost World Caverns, Lewisburg, WV","White House, Pennsylvania Avenue Northwest, Washington, DC",416487
"Pikes Peak, Colorado","Fort Sumter National Monument, Sullivan's Island, SC",2763349
"San Andreas Fault, San Benito County, CA","Pikes Peak, Colorado",2028101
"Hanford Site, Benton County, WA","Fort Snelling, Tower Avenue, Saint Paul, MN",2476769
"Hanford Site, Benton County, WA","Spring Grove Cemetery, Spring Grove Avenue, Cincinnati, OH",3537439
"Maryland State House, 100 State Cir, Annapolis, MD 21401","Columbia River Gorge National Scenic Area, Oregon",4394752
"USS Alabama, Battleship Parkway, Mobile, AL","Mount Vernon, Fairfax County, Virginia",1538446
"Taliesin, County Road C, Spring Green, Wisconsin","Bryce Canyon National Park, Hwy 63, Bryce, UT",2408644
"C. W. Parker Carousel Museum, South Esplanade Street, Leavenworth, KS","Olympia Entertainment, Woodward Avenue, Detroit, MI",1245101
"Mount Rushmore National Memorial, South Dakota 244, Keystone, SD","Grand Canyon National Park, Arizona",1651973
"Olympia Entertainment, Woodward Avenue, Detroit, MI","West Baden Springs Hotel, West Baden Avenue, West Baden Springs, IN",625402
"Craters of the Moon National Monument & Preserve, Arco, ID","Gateway Arch, Washington Avenue, St Louis, MO",2387912
"Maryland State House, 100 State Cir, Annapolis, MD 21401","Gateway Arch, Washington Avenue, St Louis, MO",1357038
"Congress Hall, Congress Place, Cape May, NJ 08204","Statue of Liberty, Liberty Island, NYC, NY",254433
"Graceland, Elvis Presley Boulevard, Memphis, TN","Columbia River Gorge National Scenic Area, Oregon",3466308
"Terrace Hill, Grand Avenue, Des Moines, IA","Lost World Caverns, Lewisburg, WV",1444979
"Mount Vernon, Fairfax County, Virginia","San Andreas Fault, San Benito County, CA",4600219
"Wright Brothers National Memorial Visitor Center, Manteo, NC","Lincoln Home National Historic Site Visitor Center, 426 South 7th Street, Springfield, IL",1641490
"Glacier National Park, West Glacier, MT","Grand Canyon National Park, Arizona",1671390
"Mount Rushmore National Memorial, South Dakota 244, Keystone, SD","Liberty Bell, 6th Street, Philadelphia, PA",2722541
"C. W. Parker Carousel Museum, South Esplanade Street, Leavenworth, KS","Glacier National Park, West Glacier, MT",2204537
"Yellowstone National Park, WY 82190","Ashfall Fossil Bed, Royal, NE",1235995
"Cape Canaveral, FL","Olympia Entertainment, Woodward Avenue, Detroit, MI",1869664
"Ashfall Fossil Bed, Royal, NE","Grand Canyon National Park, Arizona",1845322
"Pikes Peak, Colorado","West Baden Springs Hotel, West Baden Avenue, West Baden Springs, IN",1765180
"Mount Rushmore National Memorial, South Dakota 244, Keystone, SD","Acadia National Park, Maine",3512958
"Carlsbad Caverns National Park, Carlsbad, NM","Pikes Peak, Colorado",922977
"Fort Union Trading Post National Historic Site, Williston, North Dakota 1804, ND","Okefenokee Swamp Park, Okefenokee Swamp Park Road, Waycross, GA",3254574
"Hoover Dam, NV","Olympia Entertainment, Woodward Avenue, Detroit, MI",3287993
"Mammoth Cave National Park, Mammoth Cave Pkwy, Mammoth Cave, KY","West Baden Springs Hotel, West Baden Avenue, West Baden Springs, IN",199119
"Wright Brothers National Memorial Visitor Center, Manteo, NC","Mammoth Cave National Park, Mammoth Cave Pkwy, Mammoth Cave, KY",1179764
"Pikes Peak, Colorado","Congress Hall, Congress Place, Cape May, NJ 08204",2949957
"USS Constitution, Boston, MA","Lincoln Home National Historic Site Visitor Center, 426 South 7th Street, Springfield, IL",1863224
"Fort Sumter National Monument, Sullivan's Island, SC","Okefenokee Swamp Park, Okefenokee Swamp Park Road, Waycross, GA",363482
"Toltec Mounds, Scott, AR","New Castle Historic District, Delaware",1783543
"Vicksburg National Military Park, Clay Street, Vicksburg, MS","Columbia River Gorge National Scenic Area, Oregon",3726654
"Mount Vernon, Fairfax County, Virginia","Statue of Liberty, Liberty Island, NYC, NY",386403
"Mount Vernon, Fairfax County, Virginia","Graceland, Elvis Presley Boulevard, Memphis, TN",1414540
"Statue of Liberty, Liberty Island, NYC, NY","Fort Snelling, Tower Avenue, Saint Paul, MN",1934123
"Taliesin, County Road C, Spring Green, Wisconsin","Cable Car Museum, 94108, 1201 Mason St, San Francisco, CA 94108",3320261
"Yellowstone National Park, WY 82190","Fort Snelling, Tower Avenue, Saint Paul, MN",1822887
"White House, Pennsylvania Avenue Northwest, Washington, DC","Okefenokee Swamp Park, Okefenokee Swamp Park Road, Waycross, GA",1114274
"Graceland, Elvis Presley Boulevard, Memphis, TN","Bryce Canyon National Park, Hwy 63, Bryce, UT",2504346
"Shelburne Farms, Harbor Road, Shelburne, VT","New Castle Historic District, Delaware",751134
"Wright Brothers National Memorial Visitor Center, Manteo, NC","Acadia National Park, Maine",1492775
"Terrace Hill, Grand Avenue, Des Moines, IA","Fort Snelling, Tower Avenue, Saint Paul, MN",394558
"Pikes Peak, Colorado","Ashfall Fossil Bed, Royal, NE",948929
"Mount Vernon, Fairfax County, Virginia","Cape Canaveral, FL",1373791
"Cape Canaveral, FL","Cable Car Museum, 94108, 1201 Mason St, San Francisco, CA 94108",4607140
"Acadia National Park, Maine","Ashfall Fossil Bed, Royal, NE",2988611
"USS Constitution, Boston, MA","Vicksburg National Military Park, Clay Street, Vicksburg, MS",2347308
"Fort Union Trading Post National Historic Site, Williston, North Dakota 1804, ND","Gateway Arch, Washington Avenue, St Louis, MO",1957477
"The Breakers, Ochre Point Avenue, Newport, RI","Acadia National Park, Maine",561691
"Lost World Caverns, Lewisburg, WV","Pikes Peak, Colorado",2378452
"White House, Pennsylvania Avenue Northwest, Washington, DC","Fort Sumter National Monument, Sullivan's Island, SC",854668
"Statue of Liberty, Liberty Island, NYC, NY","Grand Canyon National Park, Arizona",3838968
"USS Alabama, Battleship Parkway, Mobile, AL","USS Constitution, Boston, MA",2267282
"The Alamo, Alamo Plaza, San Antonio, TX","West Baden Springs Hotel, West Baden Avenue, West Baden Springs, IN",1800120
"New Castle Historic District, Delaware","Olympia Entertainment, Woodward Avenue, Detroit, MI",969661
"Terrace Hill, Grand Avenue, Des Moines, IA","Fort Sumter National Monument, Sullivan's Island, SC",1936485
"Bryce Canyon National Park, Hwy 63, Bryce, UT","Lincoln Home National Historic Site Visitor Center, 426 South 7th Street, Springfield, IL",2375844
"Liberty Bell, 6th Street, Philadelphia, PA","Fort Union Trading Post National Historic Site, Williston, North Dakota 1804, ND",2943788
"Mount Rushmore National Memorial, South Dakota 244, Keystone, SD","Graceland, Elvis Presley Boulevard, Memphis, TN",1905830
"Mount Vernon, Fairfax County, Virginia","USS Constitution, Boston, MA",729479
"Omni Mount Washington Resort, Mount Washington Hotel Road, Bretton Woods, NH","Cable Car Museum, 94108, 1201 Mason St, San Francisco, CA 94108",5079239
"Mount Rushmore National Memorial, South Dakota 244, Keystone, SD","Gateway Arch, Washington Avenue, St Louis, MO",1568984
"Liberty Bell, 6th Street, Philadelphia, PA","Taliesin, County Road C, Spring Green, Wisconsin",1520502
"French Quarter, New Orleans, LA","Cable Car Museum, 94108, 1201 Mason St, San Francisco, CA 94108",3655745
"Glacier National Park, West Glacier, MT","Lincoln Home National Historic Site Visitor Center, 426 South 7th Street, Springfield, IL",2627806
"Statue of Liberty, Liberty Island, NYC, NY","Fort Sumter National Monument, Sullivan's Island, SC",1222041
"USS Alabama, Battleship Parkway, Mobile, AL","The Mark Twain House & Museum, Farmington Avenue, Hartford, CT",2109747
"Mount Vernon, Fairfax County, Virginia","Fort Snelling, Tower Avenue, Saint Paul, MN",1810094
"Chickasaw National Recreation Area, 1008 W 2nd St, Sulphur, OK 73086","Gateway Arch, Washington Avenue, St Louis, MO",879834
"Chickasaw National Recreation Area, 1008 W 2nd St, Sulphur, OK 73086","Craters of the Moon National Monument & Preserve, Arco, ID",2302132
"Cape Canaveral, FL","Ashfall Fossil Bed, Royal, NE",2651598
"Terrace Hill, Grand Avenue, Des Moines, IA","Graceland, Elvis Presley Boulevard, Memphis, TN",1008442
"Craters of the Moon National Monument & Preserve, Arco, ID","Vicksburg National Military Park, Clay Street, Vicksburg, MS",2984500
"Shelburne Farms, Harbor Road, Shelburne, VT","Cape Canaveral, FL",2212383
"Graceland, Elvis Presley Boulevard, Memphis, TN","Wright Brothers National Memorial Visitor Center, Manteo, NC",1513958
"Acadia National Park, Maine","Fort Snelling, Tower Avenue, Saint Paul, MN",2666567
"New Castle Historic District, Delaware","French Quarter, New Orleans, LA",1900188
"Pikes Peak, Colorado","Cable Car Museum, 94108, 1201 Mason St, San Francisco, CA 94108",2110257
"The Breakers, Ochre Point Avenue, Newport, RI","Congress Hall, Congress Place, Cape May, NJ 08204",545003
"Liberty Bell, 6th Street, Philadelphia, PA","Shelburne Farms, Harbor Road, Shelburne, VT",603814
"San Andreas Fault, San Benito County, CA","Bryce Canyon National Park, Hwy 63, Bryce, UT",1153959
"Carlsbad Caverns National Park, Carlsbad, NM","Fort Sumter National Monument, Sullivan's Island, SC",2529332
"Toltec Mounds, Scott, AR","Cable Car Museum, 94108, 1201 Mason St, San Francisco, CA 94108",3179769
"Mount Vernon, Fairfax County, Virginia","Okefenokee Swamp Park, Okefenokee Swamp Park Road, Waycross, GA",1094658
"Columbia River Gorge National Scenic Area, Oregon","Glacier National Park, West Glacier, MT",844416
"Graceland, Elvis Presley Boulevard, Memphis, TN","Lincoln Home National Historic Site Visitor Center, 426 South 7th Street, Springfield, IL",622132
"Terrace Hill, Grand Avenue, Des Moines, IA","Cape Canaveral, FL",2229372
"Taliesin, County Road C, Spring Green, Wisconsin","White House, Pennsylvania Avenue Northwest, Washington, DC",1422941
"Spring Grove Cemetery, Spring Grove Avenue, Cincinnati, OH","Columbia River Gorge National Scenic Area, Oregon",3653599
"Olympia Entertainment, Woodward Avenue, Detroit, MI","Lincoln Home National Historic Site Visitor Center, 426 South 7th Street, Springfield, IL",725616
"Hanford Site, Benton County, WA","Vicksburg National Military Park, Clay Street, Vicksburg, MS",3685723
